Nombre,Precio,Link
Galax GeForce RTX 3060 8GB 1-Click OC [36NSL8MD6OCC],$369.000,https://www.solotodo.cl/products/175195-galax-geforce-rtx-3060-8gb-1-click-oc-36nsl8md6occ
Gigabyte GeForce RTX 2060 WINDFORCE OC 12G [GV-N2060WF2OC-12GD],$379.900,https://www.solotodo.cl/products/132670-gigabyte-geforce-rtx-2060-windforce-oc-12g-gv-n2060wf2oc-12gd
Axle GeForce GTX 1660 Ti Classic Edition,$380.000,https://www.solotodo.cl/products/218865-axle-geforce-gtx-1660-ti-classic-edition
EVGA GeForce RTX 2060 XC GAMING 12GB [12G-P4-2263-KR],$389.000,https://www.solotodo.cl/products/132674-evga-geforce-rtx-2060-xc-gaming-12gb-12g-p4-2263-kr
ASUS TUF-GTX1660TI-O6G-EVO-GAMING,$389.900,https://www.solotodo.cl/products/124483-asus-tuf-gtx1660ti-o6g-evo-gaming
Gigabyte GeForce RTX 4060 WINDFORCE OC 8G [GV-N4060WF2OC-8GD],$389.990,https://www.solotodo.cl/products/211445-gigabyte-geforce-rtx-4060-windforce-oc-8g-gv-n4060wf2oc-8gd
ASUS DUAL-RTX4060-O8G-V2,$394.950,https://www.solotodo.cl/products/254797-asus-dual-rtx4060-o8g-v2
ASUS ROG-STRIX-RTX3050-O8G-GAMING,$399.900,https://www.solotodo.cl/products/132680-asus-rog-strix-rtx3050-o8g-gaming
ASUS DUAL-RTX4060-O8G [90YV0JC0-M0AA00],$397.990,https://www.solotodo.cl/products/211480-asus-dual-rtx4060-o8g-90yv0jc0-m0aa00
MSI GeForce RTX 4060 VENTUS 2X BLACK 8G OC [RTX 4060 VENTUS 2X BLACK 8G OC],$405.990,https://www.solotodo.cl/products/211481-msi-geforce-rtx-4060-ventus-2x-black-8g-oc-rtx-4060-ventus-2x-black-8g-oc
Zotac GAMING GeForce RTX 3050 Twin Edge [ZT-A30500E-10M],$415.451,https://www.solotodo.cl/products/131486-zotac-gaming-geforce-rtx-3050-twin-edge-zt-a30500e-10m
ASUS PROART-RTX4060-O8G [90YV0JM0-M0AA00],$439.900,https://www.solotodo.cl/products/220805-asus-proart-rtx4060-o8g-90yv0jm0-m0aa00
Gainward GeForce RTX 3060 Ghost [NE63060019K9-190AU],$449.900,https://www.solotodo.cl/products/125103-gainward-geforce-rtx-3060-ghost-ne63060019k9-190au
MSI GeForce RTX 3060 GAMING Z TRIO 12G,$469.900,https://www.solotodo.cl/products/133318-msi-geforce-rtx-3060-gaming-z-trio-12g
Gigabyte GeForce RTX 3060 GAMING OC 12G [GV-N3060GAMING OC-12GD],$469.990,https://www.solotodo.cl/products/105767-gigabyte-geforce-rtx-3060-gaming-oc-12g-gv-n3060gaming-oc-12gd
MSI GeForce RTX 4060 VENTUS 2X WHITE 8G OC [RTX 4060 VENTUS 2X WHITE 8G OC],$470.990,https://www.solotodo.cl/products/220640-msi-geforce-rtx-4060-ventus-2x-white-8g-oc-rtx-4060-ventus-2x-white-8g-oc
MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 8G [RTX 4060 Ti VENTUS 2X BLACK 8G],$469.990,https://www.solotodo.cl/products/210660-msi-geforce-rtx-4060-ti-ventus-2x-black-8g-rtx-4060-ti-ventus-2x-black-8g
MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC [RTX 4060 Ti VENTUS 2X BLACK 8G OC],$493.900,https://www.solotodo.cl/products/209661-msi-geforce-rtx-4060-ti-ventus-2x-black-8g-oc-rtx-4060-ti-ventus-2x-black-8g-oc
MSI GeForce RTX 3060 Ti GAMING X LHR,$529.900,https://www.solotodo.cl/products/117121-msi-geforce-rtx-3060-ti-gaming-x-lhr
Gigabyte GeForce RTX 4060 Ti EAGLE OC 8G [GV-N406TEAGLE OC-8GD],$529.990,https://www.solotodo.cl/products/209317-gigabyte-geforce-rtx-4060-ti-eagle-oc-8g-gv-n406teagle-oc-8gd
MSI GeForce RTX 4060 Ti GAMING X 8G [RTX 4060 Ti GAMING X 8G],$538.900,https://www.solotodo.cl/products/209322-msi-geforce-rtx-4060-ti-gaming-x-8g-rtx-4060-ti-gaming-x-8g
ASUS DUAL-RTX4060TI-O8G-WHITE,$539.900,https://www.solotodo.cl/products/211826-asus-dual-rtx4060ti-o8g-white
ASUS TUF-RTX3060TI-O8G-V2-GAMING,$579.900,https://www.solotodo.cl/products/129161-asus-tuf-rtx3060ti-o8g-v2-gaming
Zotac GeForce RTX 3060 Ti Twin Edge OC LHR [ZT-A30610H-10MLHR],$579.900,https://www.solotodo.cl/products/121147-zotac-geforce-rtx-3060-ti-twin-edge-oc-lhr-zt-a30610h-10mlhr
Zotac GeForce RTX 3060 Twin Edge [ZT-A30600E-10M],$579.990,https://www.solotodo.cl/products/101440-zotac-geforce-rtx-3060-twin-edge-zt-a30600e-10m
